"beta0","beta1","loglikelihood"
71.6,1.01,-213.266629507205
71.7,1.01,-213.088356322144
71.8,1.01,-212.91018804686
71.9,1.01,-212.732124681355
72,1.01,-212.554166225627
72.1,1.01,-212.376312679676
72.2,1.01,-212.198564043503
72.3,1.01,-212.020920317108
72.4,1.01,-211.84338150049
72.5,1.01,-211.66594759365
72.6,1.01,-211.488618596588
72.7,1.01,-211.311394509303
72.8,1.01,-211.134275331795
72.9,1.01,-210.957261064066
73,1.01,-210.780351706113
73.1,1.01,-210.603547257939
73.2,1.01,-210.426847719542
73.3,1.01,-210.250253090923
73.4,1.01,-210.073763372081
73.5,1.01,-209.897378563017
73.6,1.01,-209.72109866373
73.7,1.01,-209.544923674221
73.8,1.01,-209.368853594489
73.9,1.01,-209.192888424536
74,1.01,-209.017028164359
74.1,1.01,-208.841272813961
74.2,1.01,-208.66562237334
74.3,1.01,-208.490076842496
74.4,1.01,-208.31463622143
74.5,1.01,-208.139300510142
74.6,1.01,-207.964069708631
74.7,1.01,-207.788943816898
74.8,1.01,-207.613922834943
74.9,1.01,-207.439006762765
75,1.01,-207.264195600364
50,1.02,-252.615662239055
50.1,1.02,-252.415462910478
50.2,1.02,-252.215368491678
50.3,1.02,-252.015378982656
50.4,1.02,-251.815494383411
50.5,1.02,-251.615714693944
50.6,1.02,-251.416039914254
50.7,1.02,-251.216470044343
50.8,1.02,-251.017005084208
50.9,1.02,-250.817645033852
51,1.02,-250.618389893273
51.1,1.02,-250.419239662471
51.2,1.02,-250.220194341447
51.3,1.02,-250.021253930201
51.4,1.02,-249.822418428732
51.5,1.02,-249.623687837041
51.6,1.02,-249.425062155127
51.7,1.02,-249.226541382991
51.8,1.02,-249.028125520633
51.9,1.02,-248.829814568052
52,1.02,-248.631608525249
52.1,1.02,-248.433507392223
52.2,1.02,-248.235511168975
52.3,1.02,-248.037619855505
52.4,1.02,-247.839833451812
52.5,1.02,-247.642151957897
52.6,1.02,-247.444575373759
52.7,1.02,-247.247103699399
52.8,1.02,-247.049736934817
52.9,1.02,-246.852475080012
53,1.02,-246.655318134985
53.1,1.02,-246.458266099735
53.2,1.02,-246.261318974263
53.3,1.02,-246.064476758568
53.4,1.02,-245.867739452651
53.5,1.02,-245.671107056512
53.6,1.02,-245.47457957015
53.7,1.02,-245.278156993566
53.8,1.02,-245.08183932676
53.9,1.02,-244.885626569731
54,1.02,-244.689518722479
54.1,1.02,-244.493515785006
54.2,1.02,-244.297617757309
54.3,1.02,-244.101824639391
54.4,1.02,-243.90613643125
54.5,1.02,-243.710553132886
54.6,1.02,-243.515074744301
54.7,1.02,-243.319701265492
54.8,1.02,-243.124432696462
54.9,1.02,-242.929269037209
55,1.02,-242.734210287733
55.1,1.02,-242.539256448035
55.2,1.02,-242.344407518115
55.3,1.02,-242.149663497972
55.4,1.02,-241.955024387607
55.5,1.02,-241.76049018702
55.6,1.02,-241.56606089621
55.7,1.02,-241.371736515178
55.8,1.02,-241.177517043923
55.9,1.02,-240.983402482446
56,1.02,-240.789392830746
56.1,1.02,-240.595488088824
56.2,1.02,-240.40168825668
56.3,1.02,-240.207993334313
56.4,1.02,-240.014403321724
56.5,1.02,-239.820918218912
56.6,1.02,-239.627538025878
56.7,1.02,-239.434262742622
56.8,1.02,-239.241092369143
56.9,1.02,-239.048026905442
57,1.02,-238.855066351518
57.1,1.02,-238.662210707372
57.2,1.02,-238.469459973004
57.3,1.02,-238.276814148413
57.4,1.02,-238.0842732336
57.5,1.02,-237.891837228564
57.6,1.02,-237.699506133306
57.7,1.02,-237.507279947826
57.8,1.02,-237.315158672123
57.9,1.02,-237.123142306197
58,1.02,-236.93123085005
58.1,1.02,-236.73942430368
58.2,1.02,-236.547722667087
58.3,1.02,-236.356125940272
58.4,1.02,-236.164634123235
58.5,1.02,-235.973247215975
58.6,1.02,-235.781965218493
58.7,1.02,-235.590788130788
58.8,1.02,-235.399715952861
58.9,1.02,-235.208748684712
59,1.02,-235.01788632634
59.1,1.02,-234.827128877746
59.2,1.02,-234.636476338929
59.3,1.02,-234.44592870989
59.4,1.02,-234.255485990629
59.5,1.02,-234.065148181145
59.6,1.02,-233.874915281439
59.7,1.02,-233.68478729151
59.8,1.02,-233.494764211359
59.9,1.02,-233.304846040985
60,1.02,-233.11503278039
60.1,1.02,-232.925324429571
60.2,1.02,-232.735720988531
60.3,1.02,-232.546222457267
60.4,1.02,-232.356828835782
60.5,1.02,-232.167540124074
60.6,1.02,-231.978356322144
60.7,1.02,-231.789277429991
60.8,1.02,-231.600303447616
60.9,1.02,-231.411434375018
61,1.02,-231.222670212198
61.1,1.02,-231.034010959156
61.2,1.02,-230.845456615891
61.3,1.02,-230.657007182404
61.4,1.02,-230.468662658694
61.5,1.02,-230.280423044762
61.6,1.02,-230.092288340608
61.7,1.02,-229.904258546231
61.8,1.02,-229.716333661632
61.9,1.02,-229.52851368681
62,1.02,-229.340798621766
62.1,1.02,-229.1531884665
62.2,1.02,-228.965683221011
62.3,1.02,-228.778282885299
62.4,1.02,-228.590987459366
62.5,1.02,-228.40379694321
62.6,1.02,-228.216711336831
62.7,1.02,-228.02973064023
62.8,1.02,-227.842854853407
62.9,1.02,-227.656083976361
63,1.02,-227.469418009093
63.1,1.02,-227.282856951602
63.2,1.02,-227.096400803889
63.3,1.02,-226.910049565954
63.4,1.02,-226.723803237796
63.5,1.02,-226.537661819416
63.6,1.02,-226.351625310813
63.7,1.02,-226.165693711988
63.8,1.02,-225.979867022941
63.9,1.02,-225.794145243671
64,1.02,-225.608528374179
64.1,1.02,-225.423016414464
64.2,1.02,-225.237609364527
64.3,1.02,-225.052307224368
64.4,1.02,-224.867109993986
64.5,1.02,-224.682017673382
64.6,1.02,-224.497030262555
64.7,1.02,-224.312147761506
64.8,1.02,-224.127370170234
64.9,1.02,-223.94269748874
65,1.02,-223.758129717024
65.1,1.02,-223.573666855085
65.2,1.02,-223.389308902924
65.3,1.02,-223.205055860541
65.4,1.02,-223.020907727935
65.5,1.02,-222.836864505106
65.6,1.02,-222.652926192056
65.7,1.02,-222.469092788782
65.8,1.02,-222.285364295287
65.9,1.02,-222.101740711569
66,1.02,-221.918222037628
66.1,1.02,-221.734808273466
66.2,1.02,-221.55149941908
66.3,1.02,-221.368295474473
66.4,1.02,-221.185196439643
66.5,1.02,-221.00220231459
66.6,1.02,-220.819313099315
66.7,1.02,-220.636528793818
66.8,1.02,-220.453849398098
66.9,1.02,-220.271274912156
67,1.02,-220.088805335992
67.1,1.02,-219.906440669605
67.2,1.02,-219.724180912996
67.3,1.02,-219.542026066164
67.4,1.02,-219.35997612911
67.5,1.02,-219.178031101833
67.6,1.02,-218.996190984334
67.7,1.02,-218.814455776613
67.8,1.02,-218.632825478669
67.9,1.02,-218.451300090503
68,1.02,-218.269879612114
68.1,1.02,-218.088564043503
68.2,1.02,-217.90735338467
68.3,1.02,-217.726247635614
68.4,1.02,-217.545246796336
68.5,1.02,-217.364350866835
68.6,1.02,-217.183559847112
68.7,1.02,-217.002873737167
68.8,1.02,-216.822292536999
68.9,1.02,-216.641816246609
69,1.02,-216.461444865996
69.1,1.02,-216.281178395161
69.2,1.02,-216.101016834103
69.3,1.02,-215.920960182824
69.4,1.02,-215.741008441321
69.5,1.02,-215.561161609596
69.6,1.02,-215.381419687649
69.7,1.02,-215.20178267548
69.8,1.02,-215.022250573088
69.9,1.02,-214.842823380474
70,1.02,-214.663501097637
70.1,1.02,-214.484283724578
70.2,1.02,-214.305171261296
70.3,1.02,-214.126163707792
70.4,1.02,-213.947261064066
70.5,1.02,-213.768463330117
70.6,1.02,-213.589770505946
70.7,1.02,-213.411182591552
70.8,1.02,-213.232699586936
70.9,1.02,-213.054321492098
71,1.02,-212.876048307037
71.1,1.02,-212.697880031753
71.2,1.02,-212.519816666248
71.3,1.02,-212.34185821052
71.4,1.02,-212.164004664569
71.5,1.02,-211.986256028396
71.6,1.02,-211.808612302001
71.7,1.02,-211.631073485383
71.8,1.02,-211.453639578543
71.9,1.02,-211.276310581481
72,1.02,-211.099086494196
72.1,1.02,-210.921967316688
72.2,1.02,-210.744953048959
72.3,1.02,-210.568043691006
72.4,1.02,-210.391239242832
72.5,1.02,-210.214539704435
72.6,1.02,-210.037945075816
72.7,1.02,-209.861455356974
72.8,1.02,-209.68507054791
72.9,1.02,-209.508790648623
73,1.02,-209.332615659114
73.1,1.02,-209.156545579382
73.2,1.02,-208.980580409429
73.3,1.02,-208.804720149252
73.4,1.02,-208.628964798854
73.5,1.02,-208.453314358233
73.6,1.02,-208.277768827389
73.7,1.02,-208.102328206323
73.8,1.02,-207.926992495035
73.9,1.02,-207.751761693524
74,1.02,-207.576635801791
74.1,1.02,-207.401614819836
74.2,1.02,-207.226698747658
74.3,1.02,-207.051887585257
74.4,1.02,-206.877181332635
74.5,1.02,-206.70257998979
74.6,1.02,-206.528083556722
74.7,1.02,-206.353692033432
74.8,1.02,-206.17940541992
74.9,1.02,-206.005223716185
75,1.02,-205.831146922228
50,1.03,-251.004992914674
50.1,1.03,-250.80552795454
50.2,1.03,-250.606167904183
50.3,1.03,-250.406912763604
50.4,1.03,-250.207762532803
50.5,1.03,-250.008717211779
50.6,1.03,-249.809776800532
50.7,1.03,-249.610941299064
50.8,1.03,-249.412210707372
50.9,1.03,-249.213585025459
51,1.03,-249.015064253323
51.1,1.03,-248.816648390965
51.2,1.03,-248.618337438384
51.3,1.03,-248.420131395581
51.4,1.03,-248.222030262555
51.5,1.03,-248.024034039307
51.6,1.03,-247.826142725836
51.7,1.03,-247.628356322144
51.8,1.03,-247.430674828228
51.9,1.03,-247.233098244091
52,1.03,-247.035626569731
52.1,1.03,-246.838259805148
52.2,1.03,-246.640997950343
52.3,1.03,-246.443841005316
52.4,1.03,-246.246788970066
52.5,1.03,-246.049841844594
52.6,1.03,-245.8529996289
52.7,1.03,-245.656262322983
52.8,1.03,-245.459629926844
52.9,1.03,-245.263102440482
53,1.03,-245.066679863898
53.1,1.03,-244.870362197091
53.2,1.03,-244.674149440062
53.3,1.03,-244.478041592811
53.4,1.03,-244.282038655337
53.5,1.03,-244.086140627641
53.6,1.03,-243.890347509722
53.7,1.03,-243.694659301581
53.8,1.03,-243.499076003218
53.9,1.03,-243.303597614632
54,1.03,-243.108224135824
54.1,1.03,-242.912955566793
54.2,1.03,-242.71779190754
54.3,1.03,-242.522733158065
54.4,1.03,-242.327779318367
54.5,1.03,-242.132930388447
54.6,1.03,-241.938186368304
54.7,1.03,-241.743547257939
54.8,1.03,-241.549013057351
54.9,1.03,-241.354583766542
55,1.03,-241.160259385509
55.1,1.03,-240.966039914254
55.2,1.03,-240.771925352777
55.3,1.03,-240.577915701078
55.4,1.03,-240.384010959156
55.5,1.03,-240.190211127012
55.6,1.03,-239.996516204645
55.7,1.03,-239.802926192056
55.8,1.03,-239.609441089244
55.9,1.03,-239.41606089621
56,1.03,-239.222785612954
56.1,1.03,-239.029615239475
56.2,1.03,-238.836549775774
56.3,1.03,-238.64358922185
56.4,1.03,-238.450733577704
56.5,1.03,-238.257982843335
56.6,1.03,-238.065337018745
56.7,1.03,-237.872796103931
56.8,1.03,-237.680360098896
56.9,1.03,-237.488029003638
57,1.03,-237.295802818157
57.1,1.03,-237.103681542454
57.2,1.03,-236.911665176529
57.3,1.03,-236.719753720381
57.4,1.03,-236.527947174011
57.5,1.03,-236.336245537419
57.6,1.03,-236.144648810604
57.7,1.03,-235.953156993566
57.8,1.03,-235.761770086307
57.9,1.03,-235.570488088824
58,1.03,-235.37931100112
58.1,1.03,-235.188238823193
58.2,1.03,-234.997271555043
58.3,1.03,-234.806409196672
58.4,1.03,-234.615651748077
58.5,1.03,-234.424999209261
58.6,1.03,-234.234451580222
58.7,1.03,-234.04400886096
58.8,1.03,-233.853671051476
58.9,1.03,-233.66343815177
59,1.03,-233.473310161842
59.1,1.03,-233.28328708169
59.2,1.03,-233.093368911317
59.3,1.03,-232.903555650721
59.4,1.03,-232.713847299903
59.5,1.03,-232.524243858862
59.6,1.03,-232.334745327599
59.7,1.03,-232.145351706113
59.8,1.03,-231.956062994406
59.9,1.03,-231.766879192475
60,1.03,-231.577800300322
60.1,1.03,-231.388826317947
60.2,1.03,-231.19995724535
60.3,1.03,-231.01119308253
60.4,1.03,-230.822533829487
60.5,1.03,-230.633979486223
60.6,1.03,-230.445530052735
60.7,1.03,-230.257185529026
60.8,1.03,-230.068945915094
60.9,1.03,-229.880811210939
61,1.03,-229.692781416562
61.1,1.03,-229.504856531963
61.2,1.03,-229.317036557142
61.3,1.03,-229.129321492098
61.4,1.03,-228.941711336831
61.5,1.03,-228.754206091342
61.6,1.03,-228.566805755631
61.7,1.03,-228.379510329697
61.8,1.03,-228.192319813541
61.9,1.03,-228.005234207163
62,1.03,-227.818253510562
62.1,1.03,-227.631377723738
62.2,1.03,-227.444606846693
62.3,1.03,-227.257940879424
62.4,1.03,-227.071379821934
62.5,1.03,-226.884923674221
62.6,1.03,-226.698572436286
62.7,1.03,-226.512326108128
62.8,1.03,-226.326184689748
62.9,1.03,-226.140148181145
63,1.03,-225.95421658232
63.1,1.03,-225.768389893272
63.2,1.03,-225.582668114003
63.3,1.03,-225.39705124451
63.4,1.03,-225.211539284796
63.5,1.03,-225.026132234859
63.6,1.03,-224.840830094699
63.7,1.03,-224.655632864317
63.8,1.03,-224.470540543713
63.9,1.03,-224.285553132886
64,1.03,-224.100670631837
64.1,1.03,-223.915893040566
64.2,1.03,-223.731220359072
64.3,1.03,-223.546652587356
64.4,1.03,-223.362189725417
64.5,1.03,-223.177831773256
64.6,1.03,-222.993578730872
64.7,1.03,-222.809430598266
64.8,1.03,-222.625387375438
64.9,1.03,-222.441449062387
65,1.03,-222.257615659114
65.1,1.03,-222.073887165618
65.2,1.03,-221.8902635819
65.3,1.03,-221.70674490796
65.4,1.03,-221.523331143797
65.5,1.03,-221.340022289412
65.6,1.03,-221.156818344804
65.7,1.03,-220.973719309974
65.8,1.03,-220.790725184922
65.9,1.03,-220.607835969647
66,1.03,-220.42505166415
66.1,1.03,-220.24237226843
66.2,1.03,-220.059797782488
