"beta0","beta1","ssr"
70.3,1.01,918028.18
70.4,1.01,917172.03
70.5,1.01,916316.38
70.6,1.01,915461.23
70.7,1.01,914606.58
70.8,1.01,913752.43
70.9,1.01,912898.78
71,1.01,912045.63
71.1,1.01,911192.98
71.2,1.01,910340.83
71.3,1.01,909489.18
71.4,1.01,908638.03
71.5,1.01,907787.38
71.6,1.01,906937.23
71.7,1.01,906087.58
71.8,1.01,905238.43
71.9,1.01,904389.78
72,1.01,903541.63
72.1,1.01,902693.98
72.2,1.01,901846.83
72.3,1.01,901000.18
72.4,1.01,900154.03
72.5,1.01,899308.38
72.6,1.01,898463.23
72.7,1.01,897618.58
72.8,1.01,896774.43
72.9,1.01,895930.78
73,1.01,895087.63
73.1,1.01,894244.98
73.2,1.01,893402.83
73.3,1.01,892561.18
73.4,1.01,891720.03
73.5,1.01,890879.38
73.6,1.01,890039.23
73.7,1.01,889199.58
73.8,1.01,888360.43
73.9,1.01,887521.78
74,1.01,886683.63
74.1,1.01,885845.98
74.2,1.01,885008.83
74.3,1.01,884172.18
74.4,1.01,883336.03
74.5,1.01,882500.38
74.6,1.01,881665.23
74.7,1.01,880830.58
74.8,1.01,879996.43
74.9,1.01,879162.78
75,1.01,878329.63
50,1.02,1094474.72
50.1,1.02,1093520.57
50.2,1.02,1092566.92
50.3,1.02,1091613.77
50.4,1.02,1090661.12
50.5,1.02,1089708.97
50.6,1.02,1088757.32
50.7,1.02,1087806.17
50.8,1.02,1086855.52
50.9,1.02,1085905.37
51,1.02,1084955.72
51.1,1.02,1084006.57
51.2,1.02,1083057.92
51.3,1.02,1082109.77
51.4,1.02,1081162.12
51.5,1.02,1080214.97
51.6,1.02,1079268.32
51.7,1.02,1078322.17
51.8,1.02,1077376.52
51.9,1.02,1076431.37
52,1.02,1075486.72
52.1,1.02,1074542.57
52.2,1.02,1073598.92
52.3,1.02,1072655.77
52.4,1.02,1071713.12
52.5,1.02,1070770.97
52.6,1.02,1069829.32
52.7,1.02,1068888.17
52.8,1.02,1067947.52
52.9,1.02,1067007.37
53,1.02,1066067.72
53.1,1.02,1065128.57
53.2,1.02,1064189.92
53.3,1.02,1063251.77
53.4,1.02,1062314.12
53.5,1.02,1061376.97
53.6,1.02,1060440.32
53.7,1.02,1059504.17
53.8,1.02,1058568.52
53.9,1.02,1057633.37
54,1.02,1056698.72
54.1,1.02,1055764.57
54.2,1.02,1054830.92
54.3,1.02,1053897.77
54.4,1.02,1052965.12
54.5,1.02,1052032.97
54.6,1.02,1051101.32
54.7,1.02,1050170.17
54.8,1.02,1049239.52
54.9,1.02,1048309.37
55,1.02,1047379.72
55.1,1.02,1046450.57
55.2,1.02,1045521.92
55.3,1.02,1044593.77
55.4,1.02,1043666.12
55.5,1.02,1042738.97
55.6,1.02,1041812.32
55.7,1.02,1040886.17
55.8,1.02,1039960.52
55.9,1.02,1039035.37
56,1.02,1038110.72
56.1,1.02,1037186.57
56.2,1.02,1036262.92
56.3,1.02,1035339.77
56.4,1.02,1034417.12
56.5,1.02,1033494.97
56.6,1.02,1032573.32
56.7,1.02,1031652.17
56.8,1.02,1030731.52
56.9,1.02,1029811.37
57,1.02,1028891.72
57.1,1.02,1027972.57
57.2,1.02,1027053.92
57.3,1.02,1026135.77
57.4,1.02,1025218.12
57.5,1.02,1024300.97
57.6,1.02,1023384.32
57.7,1.02,1022468.17
57.8,1.02,1021552.52
57.9,1.02,1020637.37
58,1.02,1019722.72
58.1,1.02,1018808.57
58.2,1.02,1017894.92
58.3,1.02,1016981.77
58.4,1.02,1016069.12
58.5,1.02,1015156.97
58.6,1.02,1014245.32
58.7,1.02,1013334.17
58.8,1.02,1012423.52
58.9,1.02,1011513.37
59,1.02,1010603.72
59.1,1.02,1009694.57
59.2,1.02,1008785.92
59.3,1.02,1007877.77
59.4,1.02,1006970.12
59.5,1.02,1006062.97
59.6,1.02,1005156.32
59.7,1.02,1004250.17
59.8,1.02,1003344.52
59.9,1.02,1002439.37
60,1.02,1001534.72
60.1,1.02,1000630.57
60.2,1.02,999726.92
60.3,1.02,998823.77
60.4,1.02,997921.12
60.5,1.02,997018.97
60.6,1.02,996117.32
60.7,1.02,995216.17
60.8,1.02,994315.52
60.9,1.02,993415.37
61,1.02,992515.72
61.1,1.02,991616.57
61.2,1.02,990717.92
61.3,1.02,989819.77
61.4,1.02,988922.12
61.5,1.02,988024.97
61.6,1.02,987128.32
61.7,1.02,986232.17
61.8,1.02,985336.52
61.9,1.02,984441.37
62,1.02,983546.72
62.1,1.02,982652.57
62.2,1.02,981758.92
62.3,1.02,980865.77
62.4,1.02,979973.12
62.5,1.02,979080.97
62.6,1.02,978189.32
62.7,1.02,977298.17
62.8,1.02,976407.52
62.9,1.02,975517.37
63,1.02,974627.72
63.1,1.02,973738.57
63.2,1.02,972849.92
63.3,1.02,971961.77
63.4,1.02,971074.12
63.5,1.02,970186.97
63.6,1.02,969300.32
63.7,1.02,968414.17
63.8,1.02,967528.52
63.9,1.02,966643.37
64,1.02,965758.72
64.1,1.02,964874.57
64.2,1.02,963990.92
64.3,1.02,963107.77
64.4,1.02,962225.12
64.5,1.02,961342.97
64.6,1.02,960461.32
64.7,1.02,959580.17
64.8,1.02,958699.52
64.9,1.02,957819.37
65,1.02,956939.72
65.1,1.02,956060.57
65.2,1.02,955181.92
65.3,1.02,954303.77
65.4,1.02,953426.12
65.5,1.02,952548.97
65.6,1.02,951672.32
65.7,1.02,950796.17
65.8,1.02,949920.52
65.9,1.02,949045.37
66,1.02,948170.72
66.1,1.02,947296.57
66.2,1.02,946422.92
66.3,1.02,945549.77
66.4,1.02,944677.12
66.5,1.02,943804.97
66.6,1.02,942933.32
66.7,1.02,942062.17
66.8,1.02,941191.52
66.9,1.02,940321.37
67,1.02,939451.72
67.1,1.02,938582.57
67.2,1.02,937713.92
67.3,1.02,936845.77
67.4,1.02,935978.12
67.5,1.02,935110.97
67.6,1.02,934244.32
67.7,1.02,933378.17
67.8,1.02,932512.52
67.9,1.02,931647.37
68,1.02,930782.72
68.1,1.02,929918.57
68.2,1.02,929054.92
68.3,1.02,928191.77
68.4,1.02,927329.12
68.5,1.02,926466.97
68.6,1.02,925605.32
68.7,1.02,924744.17
68.8,1.02,923883.52
68.9,1.02,923023.37
69,1.02,922163.72
69.1,1.02,921304.57
69.2,1.02,920445.92
69.3,1.02,919587.77
69.4,1.02,918730.12
69.5,1.02,917872.97
69.6,1.02,917016.32
69.7,1.02,916160.17
69.8,1.02,915304.52
69.9,1.02,914449.37
70,1.02,913594.72
70.1,1.02,912740.57
70.2,1.02,911886.92
70.3,1.02,911033.77
70.4,1.02,910181.12
70.5,1.02,909328.97
70.6,1.02,908477.32
70.7,1.02,907626.17
70.8,1.02,906775.52
70.9,1.02,905925.37
71,1.02,905075.72
71.1,1.02,904226.57
71.2,1.02,903377.92
71.3,1.02,902529.77
71.4,1.02,901682.12
71.5,1.02,900834.97
71.6,1.02,899988.32
71.7,1.02,899142.17
71.8,1.02,898296.52
71.9,1.02,897451.37
72,1.02,896606.72
72.1,1.02,895762.57
72.2,1.02,894918.92
72.3,1.02,894075.77
72.4,1.02,893233.12
72.5,1.02,892390.97
72.6,1.02,891549.32
72.7,1.02,890708.17
72.8,1.02,889867.52
72.9,1.02,889027.37
73,1.02,888187.72
73.1,1.02,887348.57
73.2,1.02,886509.92
73.3,1.02,885671.77
73.4,1.02,884834.12
73.5,1.02,883996.97
73.6,1.02,883160.32
73.7,1.02,882324.17
73.8,1.02,881488.52
73.9,1.02,880653.37
74,1.02,879818.72
74.1,1.02,878984.57
74.2,1.02,878150.92
74.3,1.02,877317.77
74.4,1.02,876485.12
74.5,1.02,875652.97
74.6,1.02,874821.32
74.7,1.02,873990.17
74.8,1.02,873159.52
74.9,1.02,872329.37
75,1.02,871499.72
50,1.03,1086798.27
50.1,1.03,1085847.62
50.2,1.03,1084897.47
50.3,1.03,1083947.82
50.4,1.03,1082998.67
50.5,1.03,1082050.02
50.6,1.03,1081101.87
50.7,1.03,1080154.22
50.8,1.03,1079207.07
50.9,1.03,1078260.42
51,1.03,1077314.27
51.1,1.03,1076368.62
51.2,1.03,1075423.47
51.3,1.03,1074478.82
51.4,1.03,1073534.67
51.5,1.03,1072591.02
51.6,1.03,1071647.87
51.7,1.03,1070705.22
51.8,1.03,1069763.07
51.9,1.03,1068821.42
52,1.03,1067880.27
52.1,1.03,1066939.62
52.2,1.03,1065999.47
52.3,1.03,1065059.82
52.4,1.03,1064120.67
52.5,1.03,1063182.02
52.6,1.03,1062243.87
52.7,1.03,1061306.22
52.8,1.03,1060369.07
52.9,1.03,1059432.42
53,1.03,1058496.27
53.1,1.03,1057560.62
53.2,1.03,1056625.47
53.3,1.03,1055690.82
53.4,1.03,1054756.67
53.5,1.03,1053823.02
53.6,1.03,1052889.87
53.7,1.03,1051957.22
53.8,1.03,1051025.07
53.9,1.03,1050093.42
54,1.03,1049162.27
54.1,1.03,1048231.62
54.2,1.03,1047301.47
54.3,1.03,1046371.82
54.4,1.03,1045442.67
54.5,1.03,1044514.02
54.6,1.03,1043585.87
54.7,1.03,1042658.22
54.8,1.03,1041731.07
54.9,1.03,1040804.42
55,1.03,1039878.27
55.1,1.03,1038952.62
55.2,1.03,1038027.47
55.3,1.03,1037102.82
55.4,1.03,1036178.67
55.5,1.03,1035255.02
55.6,1.03,1034331.87
55.7,1.03,1033409.22
55.8,1.03,1032487.07
55.9,1.03,1031565.42
56,1.03,1030644.27
56.1,1.03,1029723.62
56.2,1.03,1028803.47
56.3,1.03,1027883.82
56.4,1.03,1026964.67
56.5,1.03,1026046.02
56.6,1.03,1025127.87
56.7,1.03,1024210.22
56.8,1.03,1023293.07
56.9,1.03,1022376.42
57,1.03,1021460.27
57.1,1.03,1020544.62
57.2,1.03,1019629.47
57.3,1.03,1018714.82
57.4,1.03,1017800.67
57.5,1.03,1016887.02
57.6,1.03,1015973.87
57.7,1.03,1015061.22
57.8,1.03,1014149.07
57.9,1.03,1013237.42
58,1.03,1012326.27
58.1,1.03,1011415.62
58.2,1.03,1010505.47
58.3,1.03,1009595.82
58.4,1.03,1008686.67
58.5,1.03,1007778.02
58.6,1.03,1006869.87
58.7,1.03,1005962.22
58.8,1.03,1005055.07
58.9,1.03,1004148.42
59,1.03,1003242.27
59.1,1.03,1002336.62
59.2,1.03,1001431.47
59.3,1.03,1000526.82
59.4,1.03,999622.67
59.5,1.03,998719.02
59.6,1.03,997815.87
59.7,1.03,996913.22
59.8,1.03,996011.07
59.9,1.03,995109.42
60,1.03,994208.27
60.1,1.03,993307.62
60.2,1.03,992407.47
60.3,1.03,991507.82
60.4,1.03,990608.67
60.5,1.03,989710.02
60.6,1.03,988811.87
60.7,1.03,987914.22
60.8,1.03,987017.07
60.9,1.03,986120.42
61,1.03,985224.27
61.1,1.03,984328.62
61.2,1.03,983433.47
61.3,1.03,982538.82
61.4,1.03,981644.67
61.5,1.03,980751.02
61.6,1.03,979857.87
61.7,1.03,978965.22
61.8,1.03,978073.07
61.9,1.03,977181.42
62,1.03,976290.27
62.1,1.03,975399.62
62.2,1.03,974509.47
62.3,1.03,973619.82
62.4,1.03,972730.67
62.5,1.03,971842.02
62.6,1.03,970953.87
62.7,1.03,970066.22
62.8,1.03,969179.07
62.9,1.03,968292.42
63,1.03,967406.27
63.1,1.03,966520.62
63.2,1.03,965635.47
63.3,1.03,964750.82
63.4,1.03,963866.67
63.5,1.03,962983.02
63.6,1.03,962099.87
63.7,1.03,961217.22
63.8,1.03,960335.07
63.9,1.03,959453.42
64,1.03,958572.27
64.1,1.03,957691.62
64.2,1.03,956811.47
64.3,1.03,955931.82
64.4,1.03,955052.67
64.5,1.03,954174.02
64.6,1.03,953295.87
64.7,1.03,952418.22
64.8,1.03,951541.07
64.9,1.03,950664.42
65,1.03,949788.27
65.1,1.03,948912.62
65.2,1.03,948037.47
65.3,1.03,947162.82
65.4,1.03,946288.67
65.5,1.03,945415.02
65.6,1.03,944541.87
65.7,1.03,943669.22
65.8,1.03,942797.07
65.9,1.03,941925.42
66,1.03,941054.27
66.1,1.03,940183.62
66.2,1.03,939313.47
66.3,1.03,938443.82
66.4,1.03,937574.67
66.5,1.03,936706.02
66.6,1.03,935837.87
66.7,1.03,934970.22
66.8,1.03,934103.07
66.9,1.03,933236.42
67,1.03,932370.27
67.1,1.03,931504.62
67.2,1.03,930639.47
67.3,1.03,929774.82
67.4,1.03,928910.67
67.5,1.03,928047.02
67.6,1.03,927183.87
67.7,1.03,926321.22
67.8,1.03,925459.07
67.9,1.03,924597.42
68,1.03,923736.27
68.1,1.03,922875.62
68.2,1.03,922015.47
68.3,1.03,921155.82
68.4,1.03,920296.67
68.5,1.03,919438.02
68.6,1.03,918579.87
68.7,1.03,917722.22
68.8,1.03,916865.07
68.9,1.03,916008.42
69,1.03,915152.27
69.1,1.03,914296.62
69.2,1.03,913441.47
69.3,1.03,912586.82
69.4,1.03,911732.67
69.5,1.03,910879.02
69.6,1.03,910025.87
69.7,1.03,909173.22
69.8,1.03,908321.07
69.9,1.03,907469.42
70,1.03,906618.27
70.1,1.03,905767.62
70.2,1.03,904917.47
70.3,1.03,904067.82
70.4,1.03,903218.67
70.5,1.03,902370.02
70.6,1.03,901521.87
70.7,1.03,900674.22
70.8,1.03,899827.07
70.9,1.03,898980.42
71,1.03,898134.27
71.1,1.03,897288.62
71.2,1.03,896443.47
71.3,1.03,895598.82
71.4,1.03,894754.67
71.5,1.03,893911.02
71.6,1.03,893067.87
71.7,1.03,892225.22
71.8,1.03,891383.07
71.9,1.03,890541.42
72,1.03,889700.27
72.1,1.03,888859.62
72.2,1.03,888019.47
72.3,1.03,887179.82
72.4,1.03,886340.67
72.5,1.03,885502.02
72.6,1.03,884663.87
72.7,1.03,883826.22
72.8,1.03,882989.07
72.9,1.03,882152.42
73,1.03,881316.27
73.1,1.03,880480.62
73.2,1.03,879645.47
73.3,1.03,878810.82
73.4,1.03,877976.67
73.5,1.03,877143.02
73.6,1.03,876309.87
73.7,1.03,875477.22
73.8,1.03,874645.07
73.9,1.03,873813.42
74,1.03,872982.27
74.1,1.03,872151.62
74.2,1.03,871321.47
74.3,1.03,870491.82
74.4,1.03,869662.67
74.5,1.03,868834.02
74.6,1.03,868005.87
74.7,1.03,867178.22
74.8,1.03,866351.07
74.9,1.03,865524.42
75,1.03,864698.27
50,1.04,1079150.28
50.1,1.04,1078203.13
50.2,1.04,1077256.48
50.3,1.04,1076310.33
50.4,1.04,1075364.68
50.5,1.04,1074419.53
50.6,1.04,1073474.88
50.7,1.04,1072530.73
50.8,1.04,1071587.08
50.9,1.04,1070643.93
51,1.04,1069701.28
51.1,1.04,1068759.13
51.2,1.04,1067817.48
51.3,1.04,1066876.33
51.4,1.04,1065935.68
51.5,1.04,1064995.53
51.6,1.04,1064055.88
51.7,1.04,1063116.73
51.8,1.04,1062178.08
51.9,1.04,1061239.93
52,1.04,1060302.28
52.1,1.04,1059365.13
52.2,1.04,1058428.48
52.3,1.04,1057492.33
52.4,1.04,1056556.68
52.5,1.04,1055621.53
52.6,1.04,1054686.88
52.7,1.04,1053752.73
52.8,1.04,1052819.08
52.9,1.04,1051885.93
53,1.04,1050953.28
53.1,1.04,1050021.13
53.2,1.04,1049089.48
53.3,1.04,1048158.33
53.4,1.04,1047227.68
53.5,1.04,1046297.53
53.6,1.04,1045367.88
53.7,1.04,1044438.73
53.8,1.04,1043510.08
53.9,1.04,1042581.93
54,1.04,1041654.28
54.1,1.04,1040727.13
54.2,1.04,1039800.48
54.3,1.04,1038874.33
54.4,1.04,1037948.68
54.5,1.04,1037023.53
54.6,1.04,1036098.88
54.7,1.04,1035174.73
54.8,1.04,1034251.08
54.9,1.04,1033327.93
55,1.04,1032405.28
55.1,1.04,1031483.13
55.2,1.04,1030561.48
55.3,1.04,1029640.33
55.4,1.04,1028719.68
55.5,1.04,1027799.53
55.6,1.04,1026879.88
55.7,1.04,1025960.73
55.8,1.04,1025042.08
55.9,1.04,1024123.93
56,1.04,1023206.28
56.1,1.04,1022289.13
56.2,1.04,1021372.48
56.3,1.04,1020456.33
56.4,1.04,1019540.68
56.5,1.04,1018625.53
56.6,1.04,1017710.88
56.7,1.04,1016796.73
56.8,1.04,1015883.08
56.9,1.04,1014969.93
57,1.04,1014057.28
57.1,1.04,1013145.13
57.2,1.04,1012233.48
57.3,1.04,1011322.33
57.4,1.04,1010411.68
57.5,1.04,1009501.53
57.6,1.04,1008591.88
57.7,1.04,1007682.73
57.8,1.04,1006774.08
57.9,1.04,1005865.93
58,1.04,1004958.28
58.1,1.04,1004051.13
58.2,1.04,1003144.48
58.3,1.04,1002238.33
58.4,1.04,1001332.68
58.5,1.04,1000427.53
58.6,1.04,999522.88
58.7,1.04,998618.73
58.8,1.04,997715.08
58.9,1.04,996811.93
59,1.04,995909.28
